Surface_m2,Nb_Chambres,Nb_Salles_de_Bain,Quartier,Age_Maison,Prix
142,5,3,Campagne,25,536055
132,3,2,Centre,36,500890
54,4,1,Centre,25,303540
146,3,3,Centre,22,601051
111,3,3,Centre,8,481240
60,1,3,Banlieue,11,271126
142,3,2,Centre,0,543405
161,5,3,Campagne,0,635535
114,3,3,Campagne,46,425034
127,1,3,Centre,33,455297
156,5,3,Campagne,31,551746
139,2,1,Centre,47,464088
143,3,1,Centre,24,518615
191,1,3,Campagne,39,631738
170,2,2,Centre,44,629057
189,2,1,Campagne,0,603209
92,4,3,Banlieue,15,405341
41,5,1,Centre,38,264232
127,3,1,Banlieue,4,474242
197,1,2,Campagne,21,639118
77,4,3,Banlieue,28,351536
169,5,3,Banlieue,2,689982
60,4,2,Campagne,11,269715
97,5,2,Banlieue,25,445579
61,5,3,Banlieue,15,335079
128,3,3,Campagne,36,448738
88,5,2,Banlieue,21,441746
98,4,1,Campagne,28,386304
54,5,1,Banlieue,13,254659
90,3,2,Campagne,27,327564
147,3,1,Campagne,4,528098
94,4,2,Banlieue,46,365066
103,2,1,Banlieue,48,375413
170,2,1,Banlieue,29,583841
90,5,3,Centre,45,418517
174,1,3,Centre,4,624823
60,5,1,Centre,11,287699
112,4,1,Campagne,15,448908
57,4,3,Banlieue,25,297318
171,4,3,Campagne,25,631576
128,4,3,Centre,47,537776
99,4,2,Banlieue,20,444157
53,3,1,Campagne,38,196333
48,2,3,Banlieue,35,235576
129,4,1,Campagne,32,467182
92,1,2,Banlieue,29,348950
169,1,2,Centre,36,602087
123,1,3,Centre,22,453452
131,1,2,Banlieue,9,445215
150,3,1,Campagne,4,540202
47,1,3,Centre,35,187758
74,4,1,Centre,33,371900
120,5,1,Centre,30,493953
89,1,2,Banlieue,9,332408
143,3,2,Banlieue,18,516353
171,3,2,Campagne,31,576536
41,1,2,Campagne,0,188422
173,5,2,Campagne,4,652417
93,1,3,Banlieue,44,351853
145,3,1,Banlieue,3,530277
43,2,1,Campagne,15,137587
93,4,1,Campagne,23,335617
185,3,1,Banlieue,15,635635
83,1,2,Campagne,1,297653
53,4,1,Centre,48,271393
134,1,3,Banlieue,27,493170
87,1,3,Campagne,31,309972
54,2,1,Banlieue,26,225087
79,4,1,Centre,19,408015
121,4,3,Banlieue,23,504624
150,2,3,Banlieue,11,540861
92,3,2,Banlieue,49,398699
63,1,3,Banlieue,34,281008
193,5,2,Centre,32,769321
163,1,2,Banlieue,32,540781
80,1,2,Banlieue,42,308526
196,3,2,Campagne,36,620943
54,1,2,Banlieue,11,242180
84,2,1,Campagne,2,292845
104,2,3,Centre,0,409898
128,4,2,Centre,32,538652
110,5,3,Centre,39,459297
48,1,3,Centre,9,206245
127,1,2,Campagne,42,407249
168,3,1,Banlieue,43,588926
175,2,2,Centre,28,640410
102,5,1,Banlieue,12,449839
178,4,3,Campagne,11,673033
120,2,1,Campagne,30,404004
175,4,1,Campagne,45,584854
72,3,1,Centre,1,329027
162,3,3,Banlieue,49,580855
44,1,3,Banlieue,34,205909
80,5,1,Banlieue,22,342053
67,4,1,Campagne,16,284818
174,2,2,Centre,25,617771
111,3,1,Campagne,7,400012
51,1,2,Campagne,28,184574
72,1,1,Banlieue,25,209454
87,4,2,Campagne,9,338474
